,incident_number,description,category_full,ci_name,owner_group,urgency,priority,sla
1114,I230404_000437,"Trigger: ""NetBackup Volume Manager"" (NetBackup Volume Manager) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S208S12
Host group: Gurnee/Windows, SARE, Windows/Gurnee
Host description: 
Zabbix event ID: 1041595529",Incidents/Infrastructure/System/Server,S208S12,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1115,I230404_000438,"Trigger: ""NetBackup Service Monitor"" (NetBackup Service Monitor) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S208S12
Host group: Gurnee/Windows, SARE, Windows/Gurnee
Host description: 
Zabbix event ID: 1041595528",Incidents/Infrastructure/System/Server,S208S12,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1116,I230404_000439,"Trigger: ""NetBackup Remote Manager and Monitor Service"" (NetBackup Remote Manager and Monitor Service) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S208S12
Host group: Gurnee/Windows, SARE, Windows/Gurnee
Host description: 
Zabbix event ID: 1041595526",Incidents/Infrastructure/ERP/Backup,S208S12,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1117,I230404_000440,"Trigger: ""NetBackup Service Layer"" (NetBackup Service Layer) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S208S12
Host group: Gurnee/Windows, SARE, Windows/Gurnee
Host description: 
Zabbix event ID: 1041595527",Incidents/Infrastructure/ERP/Backup,S208S12,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1118,I230404_000441,"Trigger: ""NetBackup Client Service"" (NetBackup Client Service) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S208S12
Host group: Gurnee/Windows, SARE, Windows/Gurnee
Host description: 
Zabbix event ID: 1041595515",Incidents/Infrastructure/ERP/Backup,S208S12,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1119,I230404_000442,"Trigger: ""NetBackup Legacy Client Service"" (NetBackup Legacy Client Service) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S208S12
Host group: Gurnee/Windows, SARE, Windows/Gurnee
Host description: 
Zabbix event ID: 1041595517",Incidents/Infrastructure/ERP/Backup,S208S12,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1120,I230403_000336,"Trigger: SAP Solman detect problem on PGW~ABAP~setp56a_PGW_01 such as Not Enough Dialog Resources
Responsible team: CORP_ISC_SAP
Trigger description: 20230403220338;PGW~ABAP~setp56a_PGW_01;005056A5D24B1EEDB4CB5411293E7A54;Not Enough Dialog Resources;Medium;The ABAP instance does only have limited or even no ressources left for dialog processing. If these issues are not solved this will lead to bad performance or even prevent further dialog processing on this instance.Analysis Tools:Analyze the instance workload with https://sapsmprd.roquette.corp.priv:8001/sap/bc/webdynpro/sap/diag_app_starter?APP_ID=RCA_E2E_WORKLOAD&DATABASES&HOSTS=setp56s&TECH_SCEN&TECH_SYS=PGW%7eABAP&sap-client=400&sap-language=EN E2E Workload AnalysisCheck the work process status with https://setp56a.roquette.corp.priv:8001/sap/bc/gui/sap/its/webgui?%7etransaction=SM50&sap-language=EN&sap-client=400 transaction SM50Analyze the user sessions with https://setp56a.roquette.corp.priv:8001/sap/bc/gui/sap/its/webgui?%7etransaction=SM04&sap-language=EN&sap-client=400 transaction SM04
Opened at: 1680552
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680552, RT:CORP_ISC_SAP, TriggerValue:PGW~ABAP~setp56a_PGW_01 such as Not Enough Dialog Resources
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1040619092",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1121,I230410_000173,"Trigger: SAP Solman detect problem on B0000005 such as RTEdump Files
Responsible team: CORP_ISC_SAP
Trigger description: 20230411011034;B0000005;005056A5D24B1EEDB5FE9CA032CE64B7;RTEdump Files;High;New RTE dump files were generated in the trace directory of the system. Check for the reason of these RTE dumps. URL:DBA_COCKPITNo URL for application DBA Cockpit matches specified filters 
Opened at: 1681168
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681168, RT:CORP_ISC_SAP, TriggerValue:B0000005 such as RTEdump Files
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1046992529",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1122,I230410_000174,"Trigger: SAP Solman detect problem on B0000005 such as New OOM Trace Files
Responsible team: CORP_ISC_SAP
Trigger description: 20230411013334;B0000005;005056A5D24B1EEDB5FF03827C5556CD;New OOM Trace Files;High;New Out-of-Memory trace files were detected. This indicates that new Out-of-Memory situations have occurred. Note that new OOM trace files are not written if the last OOM trace file was already written on the same day.Please check SAP note 1999997 - 'FAQ: SAP HANA Memory' for more information on memory issues.
Opened at: 1681169
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681169, RT:CORP_ISC_SAP, TriggerValue:B0000005 such as New OOM Trace Files
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1047006338",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1123,I230408_000060,"Trigger: SAP Solman detect problem on IXI such as ASE Log Space
Responsible team: CORP_ISC_SAP
Trigger description: 20230409001032;IXI;005056A5D24B1EDDB5CB45C98DC8E698;ASE Log Space;High;Free log space available for all database of the database server. Running out of log space will stop system operation. Log space can be freed by dumping the transaction log.Analysis Tools:https://sapsmprd.roquette.corp.priv:8001/sap/bc/webdynpro/sap/dba_cockpit?action_id&system_id=IXI&time_from=20230408221032%20&time_to=20230408221032%20&time_zone=UTC&ACTION_ID=15 Databases
Opened at: 1680991
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680991, RT:CORP_ISC_SAP, TriggerValue:IXI such as ASE Log Space
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1045187929",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1124,I230408_000061,"Trigger: SAP Solman detect problem on IXI such as ASE Database available
Responsible team: CORP_ISC_SAP
Trigger description: 20230409001412;IXI;005056A5D24B1EDDB5CB561BED8EA928;ASE Database available;High;The availability checks for database IXI have failed. This means that the database or the monitored connections to the database are not available. You should check the database availability manually and restart the database if necessary.
Opened at: 1680992
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680992, RT:CORP_ISC_SAP, TriggerValue:IXI such as ASE Database available
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1045190383",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1125,I230408_000062,"Trigger: SAP Solman detect problem on QMI such as ASE Database available
Responsible team: CORP_ISC_SAP
Trigger description: 20230409004912;QMI;005056A5D24B1EEDB5CBF29711E66665;ASE Database available;High;The availability checks for database QMI have failed. This means that the database or the monitored connections to the database are not available. You should check the database availability manually and restart the database if necessary.
Opened at: 1680994
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680994, RT:CORP_ISC_SAP, TriggerValue:QMI such as ASE Database available
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1045211158",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1126,I230408_000048,"Trigger: Zabbix agent is not running
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent, but host is available by ping.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: S101A630
Host group: Lestrem/Windows, SIGL, Windows/Lestrem
Host description: 
Zabbix event ID: 1045046526",Incidents/Infrastructure/System/Laboratories Apps,S101A630,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1127,I230411_000280,"Trigger: Zabbix agent and host is not available
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent and host is not available by ping.
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: S273A12
Host group: Mumbai/Windows, PSRI, Windows/Mumbai
Host description: 
Zabbix event ID: 1047877134",Incidents/Infrastructure/System/RDS,S273A12,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
1128,I230411_000281,"Trigger: SAP Solman detect problem on M10~JAVA~s101a229_M10_11 such as P101P070
Responsible team: CORP_ISC_SAP
Trigger description: 20230412005928;M10~JAVA~s101a229_M10_11;005056A5D24B1EDDB697906C526463B5;P101P070;Critical;
Opened at: 1681254
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681254, RT:CORP_ISC_SAP, TriggerValue:M10~JAVA~s101a229_M10_11 such as P101P070
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1047879119",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
1129,I230411_000282,"Trigger: MSSQL: has been restarted (uptime < 15m)
Responsible team: CORP_ISC_SQL
Trigger description: 
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:MSSQL, RT:CORP_ISC_SQL
Host: S273A13\PCS27301
Host group: MSSQL/Mumbai, Mumbai/MSSQL, PSRI
Host description: 
Zabbix event ID: 1047880796",Incidents/Infrastructure/ERP/Database/MSSQL Database issue,S273A13\PCS27301,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1130,I230411_000271,"Trigger: MSSQL DB 'dbValutazioneFornitoriMais_bkMik': Percent of log using is more 99% (over 99% for 30m)
Responsible team: CORP_ISC_SQL
Trigger description: There's not enough space left in the log.
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:MSSQL, Application:MSSQL Database 'dbValutazioneFornitoriMais_bkMik', RT:CORP_ISC_SQL
Host: S201A125\SQL20101
Host group: BDIT, Cassano Spinola/MSSQL, MSSQL/Cassano Spinola
Host description: 
Zabbix event ID: 1047818917",Incidents/Infrastructure/ERP/Database/MSSQL Database issue,S201A125\SQL20101,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1131,I230411_000275,"Trigger: SAP Solman detect problem on IXI such as ASE Log Space
Responsible team: CORP_ISC_SAP
Trigger description: 20230412001039;IXI;005056A5D24B1EDDB696B649FDEDFC0D;ASE Log Space;High;Free log space available for all database of the database server. Running out of log space will stop system operation. Log space can be freed by dumping the transaction log.Analysis Tools:https://sapsmprd.roquette.corp.priv:8001/sap/bc/webdynpro/sap/dba_cockpit?action_id&system_id=IXI&time_from=20230411221039%20&time_to=20230411221039%20&time_zone=UTC&ACTION_ID=15 Databases
Opened at: 1681251
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681251, RT:CORP_ISC_SAP, TriggerValue:IXI such as ASE Log Space
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1047848777",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1132,I230411_000276,"Trigger: SAP Solman detect problem on IXI such as ASE Database available
Responsible team: CORP_ISC_SAP
Trigger description: 20230412001437;IXI;005056A5D24B1EDDB696C7E469409F1F;ASE Database available;High;The availability checks for database IXI have failed. This means that the database or the monitored connections to the database are not available. You should check the database availability manually and restart the database if necessary.
Opened at: 1681251
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681251, RT:CORP_ISC_SAP, TriggerValue:IXI such as ASE Database available
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1047851075",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1133,I230410_000144,"Trigger: SAP Solman detect problem on R01 such as ASE Database available
Responsible team: CORP_ISC_SAP
Trigger description: 20230410194413;R01;005056A5D24B1EDDB5F8E9DA7B3E7D1F;ASE Database available;High;The availability checks for database R01 have failed. This means that the database or the monitored connections to the database are not available. You should check the database availability manually and restart the database if necessary.
Opened at: 1681148
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681148, RT:CORP_ISC_SAP, TriggerValue:R01 such as ASE Database available
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1046797232",Incidents/Infrastructure/System/Server,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1134,I230411_000259,"Trigger: Interface Gi1/0/19(Printers): VLAN has been changed to 888
Responsible team: {EVENT.TAGS.RT}
Trigger description: 
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:Interface Gi1/0/19(Printers)
Host: SWEA97A
Host group: GIGA, Nanning/Network, Network/Nanning
Host description: 
Zabbix event ID: 1047739548",Incidents/Infrastructure/Network/LAN,SWEA97A,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1135,I230411_000256,"Trigger: Thresholded job JOBS.PM_MPO_000_MANUFACTURING_EXECUTION_5_AMER_01; in workflow PM_MPO_000_MANUFACTURING_EXECUTION_5_AMER; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000102;PM_MPO_000_MANUFACTURING_EXECUTION_5_AMER;JOBP;0423105027;JOBS.PM_MPO_000_MANUFACTURING_EXECUTION_5_AMER_01;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000102;PM_MPO_000_MANUFACTURING_EXECUTION_5_AMER;JOBP;0423105027;JOBS.PM_MPO_000_MANUFACTURING_EXECUTION_5_AMER_01;P3, Opened at:1681238, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1047717330",Incidents/Infrastructure/ERP/Scheduling/One Automation,S101A779,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1136,I230411_000257,"Trigger: SAP Solman detect problem on HRD such as Oracle Backup
Responsible team: CORP_ISC_SAP
Trigger description: 20230411203829;HRD;005056A5D24B1EEDB69301BA6919F41B;Oracle Backup;High;Problems with the Oracle backup have been detected.
Opened at: 1681238
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681238, RT:CORP_ISC_SAP, TriggerValue:HRD such as Oracle Backup
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1047718805",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1137,I230411_000254,"Trigger: Zabbix agent is not running
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent, but host is available by ping.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: S101A737
Host group: Lestrem/Windows, SHAT, Windows/Lestrem
Host description: 
Zabbix event ID: 1047712812",Incidents/Infrastructure/System/Sharepoint,S101A737,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1138,I230403_000344,"Trigger: SAP Solman detect problem on IXI such as ASE Database available
Responsible team: CORP_ISC_SAP
Trigger description: 20230404001407;IXI;005056A5D24B1EEDB4CD9B3D42772974;ASE Database available;High;The availability checks for database IXI have failed. This means that the database or the monitored connections to the database are not available. You should check the database availability manually and restart the database if necessary.
Opened at: 1680560
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680560, RT:CORP_ISC_SAP, TriggerValue:IXI such as ASE Database available
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1040698933",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1139,I230404_000001,"Trigger: SAP Solman detect problem on seap08s such as High CPU Utilization
Responsible team: CORP_ISC_SAP
Trigger description: 20230404021830;seap08s;005056A5D24B1EDDB4CFC7561B351340;High CPU Utilization;Medium;A high CPU utilization on host seap08s.roquette.corp.priv has been detected. You should check on operating system level which process is causing this high CPU utilization. You have to be aware that this high CPU utilization will most probably have an impact on the performance of the applications running on this host.Analysis Tools:https://seap50s.roquette.corp.priv:51101/webdynpro/dispatcher/sap.com/tc~smd~navigation/WilySelectorApp?HOSTS=seap08s&INTROSCOPE_MODE=WV&TECH_SYS&sap-language=EN Host Dashboard in Introscopehttps://sapsmprd.roquette.corp.priv:8001/sap/bc/webdynpro/sap/diag_app_starter?APP_ID=RCA_HOST_ANALYSIS&DATABASES&HOSTS=seap08s&TECH_SCEN&TECH_SYS&sap-client=400&sap-language=EN Host AnalysisTo see which processes are currently running you can also perform the command ""ProcessStat"" in the OS Command Console.
Opened at: 1680567
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680567, RT:CORP_ISC_SAP, TriggerValue:seap08s such as High CPU Utilization
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1040774383",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1140,I230401_000070,"Trigger: High swap space usage (less than 50% free)
Responsible team: CORP_ISC_NIX
Trigger description: This trigger is ignored, if there is no swap configured
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Memory, RT:CORP_ISC_NIX
Host: SUTP98A
Host group: Gurnee/Linux, Linux/Gurnee, ZABX
Host description: 
Zabbix event ID: 1038620670",Incidents/Infrastructure/Network/Monitoring,SUTP98A,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1141,I230401_000072,"Trigger: SAP Solman detect problem on s260a70 such as EVENT_ID_1945
Responsible team: CORP_ISC_SAP
Trigger description: 20230401210605;s260a70;005056A5D24B1EDDB4980830F901172A;EVENT_ID_1945;Critical;
Opened at: 1680376
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680376, RT:CORP_ISC_SAP, TriggerValue:s260a70 such as EVENT_ID_1945
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1038698358",Incidents/Infrastructure/System/Server,SEAP50S,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
1142,I230401_000074,"Trigger: Event ID - 428 Event -  svchost (10484) Instance: The database engine is rejecting update operations due to low free disk space on the log disk.
Responsible team: CORP_ISC_Wintel
Trigger description: svchost (10484) Instance: The database engine is rejecting update operations due to low free disk space on the log disk.
Opened at: 1680377
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: App_Source:ESENT, Application:Event log Application, EVENT_ID:428, Host:S101A639, Opened at:1680377, RT:CORP_ISC_Wintel
Host: S101A639
Host group: Lestrem/Windows, SCCM, Windows/Lestrem
Host description: 
Zabbix event ID: 1038715020",Incidents/Infrastructure/System/SCCM,S101A639,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1143,I230403_000308,"Trigger: Zabbix agent is not running
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent, but host is available by ping.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: S101A554
Host group: Lestrem/Windows, SHAT, Windows/Lestrem
Host description: 
Zabbix event ID: 1040500328",Incidents/Infrastructure/System/Sharepoint,S101A554,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1144,I230403_000316,"Trigger: SAP Solman detect problem on OMI such as ASE Database available
Responsible team: CORP_ISC_SAP
Trigger description: 20230403191626;OMI;005056A5D24B1EEDB4C8687FB9C1E9E5;ASE Database available;High;The availability checks for database OMI have failed. This means that the database or the monitored connections to the database are not available. You should check the database availability manually and restart the database if necessary.
Opened at: 1680542
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680542, RT:CORP_ISC_SAP, TriggerValue:OMI such as ASE Database available
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1040515246",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1145,I230403_000317,"Trigger: SAP Solman detect problem on M01~JAVA~sapmiim01_M01_11 such as High MII connector response time
Responsible team: CORP_ISC_SAP
Trigger description: 20230403194607;M01~JAVA~sapmiim01_M01_11;005056A5D24B1EDDB4C8ED5A3CE2C1E4;High MII connector response time;Medium;
Opened at: 1680544
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680544, RT:CORP_ISC_SAP, TriggerValue:M01~JAVA~sapmiim01_M01_11 such as High MII connector response time
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1040534871",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1146,I230430_000049,"Trigger: ""Selemgr"" (Selemgr) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S101A641
Host group: GHOR, Lestrem/Windows, Windows/Lestrem
Host description: 
Zabbix event ID: 1064181593",Incidents/Infrastructure/System/Badge Access Control,S101A641,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1147,I230402_000083,"Trigger: Event ID - 428 Event -  svchost (6556) Instance: The database engine is rejecting update operations due to low free disk space on the log disk.
Responsible team: CORP_ISC_Wintel
Trigger description: svchost (6556) Instance: The database engine is rejecting update operations due to low free disk space on the log disk.
Opened at: 1680465
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: App_Source:ESENT, Application:Event log Application, EVENT_ID:428, Host:S101A639, Opened at:1680465, RT:CORP_ISC_Wintel
Host: S101A639
Host group: Lestrem/Windows, SCCM, Windows/Lestrem
Host description: 
Zabbix event ID: 1039678356",Incidents/Infrastructure/System/SCCM,S101A639,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1148,I230403_000001,"Trigger: Load average is too high (per CPU load over 2.0 for 15m)
Responsible team: CORP_ISC_NIX
Trigger description: Per CPU load average is too high. Your system may be slow to respond.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CPU, RT:CORP_ISC_NIX
Host: SBTP99A
Host group: Beinheim/Linux, Linux/Beinheim, ZABX
Host description: 
Zabbix event ID: 1039834451",Incidents/Infrastructure/Network/Monitoring,SBTP99A,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
1149,I230404_000424,"Trigger: Interface Ethernet1/14(U: Uplink): High bandwidth usage (>90% )
Responsible team: {EVENT.TAGS.RT}
Trigger description: The network interface utilization is close to its estimated maximum bandwidth.
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Interface Ethernet1/14(U: Uplink)
Host: SWU200H-B
Host group: GIGA, Lestrem/Network, Network/Lestrem
Host description: 
Zabbix event ID: 1041559207",Incidents/Infrastructure/ERP/SAN,SWU200H-B,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1150,I230404_000425,"Trigger: Interface Ethernet1/4(SWU200H-B Eth1/14): High bandwidth usage (>90% )
Responsible team: {EVENT.TAGS.RT}
Trigger description: The network interface utilization is close to its estimated maximum bandwidth.
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Interface Ethernet1/4(SWU200H-B Eth1/14)
Host: SWI235B
Host group: GIGA, Lestrem/Network, Network/Lestrem
Host description: 
Zabbix event ID: 1041559323",Incidents/Infrastructure/Network/LAN,SWI235B,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
1151,I230404_000427,"Trigger: SAP Solman detect problem on M10~JAVA~s101a229_M10_11 such as P101P341
Responsible team: CORP_ISC_SAP
Trigger description: 20230404220827;M10~JAVA~s101a229_M10_11;005056A5D24B1EDDB4E48ED8E577F360;P101P341;Critical;
Opened at: 1680638
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1680638, RT:CORP_ISC_SAP, TriggerValue:M10~JAVA~s101a229_M10_11 such as P101P341
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1041568194",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
1152,I230404_000428,"Trigger: Event ID - 5120 Event - Cluster Shared Volume 'S208S12-NBU' ('S208S12-NBU') has entered a paused state because of '(c000009d)'. All I/O will temporarily be queued until a path to the volume is reestablished.
Responsible team: CORP_ISC_Wintel
Trigger description: Cluster Shared Volume 'S208S12-NBU' ('S208S12-NBU') has entered a paused state because of '(c000009d)'. All I/O will temporarily be queued until a path to the volume is reestablished.
Opened at: 1680639
Trigger severity: High
Trigger nseverity: 4
Trigger tags: App_Source:Microsoft-Windows-FailoverClustering, Application:Event log System, EVENT_ID:5120, Host:S208V100, Opened at:1680639, RT:CORP_ISC_Wintel
Host: S208V100
Host group: Gurnee/Windows, VSRV, Windows/Gurnee
Host description: 
Zabbix event ID: 1041570328",Incidents/Infrastructure/System/Hyper-V,S208V100,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
